shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
4525_55,53.3562415591633,-6.25626078569516,1,0.0
4525_55,53.3561788153389,-6.25643676554346,2,13.641
4525_55,53.3557021,-6.2577742,3,117.302
4525_55,53.3556774,-6.2578436,4,122.678
4525_55,53.3556449,-6.257938,5,129.931
4525_55,53.3557391,-6.2580298,6,142.066
4525_55,53.3558395,-6.2581324,7,155.163
4525_55,53.3567871,-6.2591006,8,278.769
4525_55,53.3566677,-6.2592457,9,295.199
4525_55,53.3562669,-6.2600557,10,365.189
4525_55,53.3558125,-6.2609825,11,444.975
4525_55,53.355388,-6.2618935,12,521.863
4525_55,53.3552722,-6.262146,13,543.047
4525_55,53.3552137,-6.2622554,14,552.817
4525_55,53.3550272,-6.2626435,15,585.963
4525_55,53.3549148,-6.2628465,16,604.381
4525_55,53.3546301,-6.2633446,17,650.251
4525_55,53.3546056,-6.2633927,18,654.457
4525_55,53.3545868,-6.2634297,19,657.689
4525_55,53.354535,-6.2635331,20,666.67
4525_55,53.3544599,-6.2634527,21,676.595
4525_55,53.3544247,-6.2634153,22,681.237
4525_55,53.354379,-6.2633409,23,688.338
4525_55,53.3541865,-6.2631125,24,714.611
4525_55,53.3540767,-6.2629794,25,729.707
4525_55,53.3540280069388,-6.26292751908982,26,736.134
4525_55,53.3540087,-6.2629068,27,738.687
4525_55,53.3534566,-6.2622538,28,813.962
4525_55,53.353385,-6.26217,29,823.69
4525_55,53.3531844,-6.2619296,30,851.162
4525_55,53.3531004,-6.2618361,31,862.394
4525_55,53.3529648531886,-6.26165944841757,32,881.524
4525_55,53.3528982,-6.2615723,33,890.943
4525_55,53.3527666,-6.2614439,34,907.902
4525_55,53.3527492,-6.261428,35,910.109
4525_55,53.3527071682263,-6.26140069687349,36,915.128
4525_55,53.3526872,-6.2613875,37,917.518
4525_55,53.3526504,-6.2613668,38,921.839
4525_55,53.3526119,-6.2613499,39,926.269
4525_55,53.352555,-6.2613445,40,932.612
4525_55,53.3524840993475,-6.26131193287849,41,940.795
4525_55,53.3524234,-6.2612838,42,947.806
4525_55,53.3523923,-6.2612724,43,951.349
4525_55,53.3522278,-6.2612001,44,970.28
4525_55,53.3520534,-6.2611234,45,990.35
4525_55,53.3519419,-6.2610744,46,1003.181
4525_55,53.351421,-6.2608416,47,1063.191
4525_55,53.3512563,-6.2607685,48,1082.157
4525_55,53.3506139182789,-6.26048365205754,49,1156.124
4525_55,53.3503787,-6.2603792,50,1183.21
4525_55,53.350219,-6.2603097,51,1201.577
4525_55,53.3498189,-6.260128,52,1247.72
4525_55,53.3490115,-6.2597827,53,1340.475
4525_55,53.3488709,-6.2597226,54,1356.626
4525_55,53.3486178,-6.259606,55,1385.846
4525_55,53.3485006,-6.2595533,56,1399.353
4525_55,53.3484454,-6.2595282,57,1405.72
4525_55,53.348415,-6.2595121,58,1409.269
4525_55,53.3483813,-6.2594958,59,1413.174
4525_55,53.3483466,-6.2594756,60,1417.263
4525_55,53.3481219,-6.2593648,61,1443.337
4525_55,53.3477467,-6.2591817,62,1486.838
4525_55,53.3476853,-6.2591517,63,1493.958
4525_55,53.3475905,-6.2591013,64,1505.03
4525_55,53.3474999,-6.2590532,65,1515.61
4525_55,53.3473129,-6.2589537,66,1537.451
4525_55,53.347248,-6.2589186,67,1545.043
4525_55,53.3471323,-6.2588576,68,1558.545
4525_55,53.3471061,-6.2588438,69,1561.603
4525_55,53.3470086,-6.258792,70,1572.989
4525_55,53.3469124,-6.2587358,71,1584.331
4525_55,53.3467806,-6.2586477,72,1600.129
4525_55,53.3467034,-6.2585335,73,1611.604
4525_55,53.3466455,-6.2584476,74,1620.221
4525_55,53.3465697,-6.2583354,75,1631.491
4525_55,53.3465089,-6.2582454,76,1640.53
4525_55,53.3463627,-6.2580289,77,1662.271
